check	status	detail
pair diagnostic schema P10/2	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/2	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/2	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/3	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/3	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/3	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/3	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/3	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/3	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/3	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/4	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/4	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/4	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/4	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/4	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/4	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/4	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/5	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/5	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/5	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/5	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/5	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/5	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/5	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/6	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/6	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/6	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/6	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/6	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/6	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/6	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/7	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/7	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/7	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/7	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/7	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/7	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/7	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/8	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/8	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/8	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/8	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/8	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/8	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/8	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/9	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/9	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/9	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/9	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/9	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/9	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/9	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/10	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/10	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/10	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/10	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/10	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/10	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/10	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/11	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/11	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/11	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/11	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/11	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/11	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/11	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/12	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/12	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/12	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/12	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/12	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/12	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/12	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/13	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/13	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/13	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/13	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/13	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/13	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/13	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/14	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/14	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/14	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/14	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/14	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/14	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/14	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/15	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/15	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/15	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/15	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/15	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/15	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/15	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/16	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/16	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/16	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/16	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/16	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/16	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/16	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/17	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/17	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/17	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/17	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/17	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/17	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/17	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/18	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/18	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/18	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/18	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/18	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/18	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/18	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/19	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/19	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/19	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/19	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/19	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/19	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/19	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/20	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/20	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/20	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/20	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/20	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/20	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/20	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/21	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/21	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/21	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/21	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/21	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/21	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/21	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/22	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/22	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/22	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/22	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/22	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/22	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/22	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/23	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/23	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/23	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/23	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/23	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/23	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/23	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/24	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/24	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/24	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/24	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/24	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/24	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/24	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/25	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/25	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/25	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/25	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/25	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/25	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/25	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/26	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/26	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/26	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/26	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/26	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/26	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/26	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/27	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/27	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/27	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/27	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/27	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/27	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/27	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/28	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/28	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/28	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/28	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/28	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/28	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/28	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/29	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/29	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/29	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/29	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/29	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/29	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/29	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/30	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/30	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/30	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/30	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/30	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/30	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/30	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/31	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/31	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/31	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/31	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/31	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/31	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/31	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/32	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/32	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/32	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/32	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/32	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/32	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/32	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/33	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/33	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/33	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/33	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/33	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/33	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/33	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/34	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/34	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/34	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/34	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/34	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/34	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/34	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/35	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/35	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/35	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/35	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/35	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/35	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/35	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/36	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/36	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/36	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/36	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/36	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/36	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/36	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/37	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/37	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/37	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/37	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/37	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/37	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/37	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/38	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/38	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/38	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/38	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/38	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/38	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/38	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/39	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/39	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/39	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/39	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/39	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/39	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/39	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/40	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/40	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/40	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/40	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/40	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/40	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/40	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/41	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/41	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/41	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/41	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/41	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/41	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/41	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/42	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/42	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/42	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/42	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/42	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/42	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/42	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/43	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/43	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/43	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/43	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/43	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/43	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/43	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/44	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/44	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/44	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/44	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/44	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/44	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/44	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/45	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/45	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/45	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/45	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/45	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/45	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/45	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/46	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/46	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/46	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/46	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/46	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/46	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/46	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/47	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/47	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/47	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/47	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/47	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/47	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/47	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/48	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/48	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/48	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/48	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/48	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/48	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/48	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/49	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/49	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/49	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/49	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/49	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/49	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/49	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/50	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/50	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/50	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/50	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/50	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/50	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/50	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/51	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/51	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/51	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/51	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/51	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/51	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/51	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/52	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/52	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/52	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/52	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/52	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/52	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/52	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/53	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/53	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/53	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/53	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pair diagnostic schema P10/53	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P10/53	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P10/53	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P10/54	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P10/54	PASS	cell id intentionally excluded from seed
mask exact count/hash P10/54	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P10/54	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
